web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,21/10/2023,27/10/2023,755,755,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,42,660,Aix Les Bains
,09/10/2023,28/10/2023,03/11/2023,721,721,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,43,660,Aix Les Bains
,09/10/2023,04/11/2023,10/11/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,44,660,Aix Les Bains
,09/10/2023,11/11/2023,17/11/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,45,660,Aix Les Bains
,09/10/2023,18/11/2023,24/11/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,46,660,Aix Les Bains
,09/10/2023,25/11/2023,01/12/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,47,660,Aix Les Bains
,09/10/2023,02/12/2023,08/12/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,48,660,Aix Les Bains
,09/10/2023,09/12/2023,15/12/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,49,660,Aix Les Bains
,09/10/2023,16/12/2023,22/12/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,50,660,Aix Les Bains
,09/10/2023,23/12/2023,29/12/2023,674,674,Studio pour 2 Personnes,276804,Résidence Maison Panczer,Aix Les Bains,,51,660,Aix Les Bains
,09/10/2023,02/12/2023,08/12/2023,803,803,2 Pièces pour 5 Personnes,255444,Résidence Lauziere Dessous,Valmorel,,48,109,Valmorel
,09/10/2023,09/12/2023,15/12/2023,803,803,2 Pièces pour 5 Personnes,255444,Résidence Lauziere Dessous,Valmorel,,49,109,Valmorel
,09/10/2023,16/12/2023,22/12/2023,803,803,2 Pièces pour 5 Personnes,255444,Résidence Lauziere Dessous,Valmorel,,50,109,Valmorel
,09/10/2023,24/02/2024,01/03/2024,1551,1551,2 Pièces pour 5 Personnes,255444,Résidence Lauziere Dessous,Valmorel,,8,109,Valmorel
,09/10/2023,02/03/2024,08/03/2024,1431,1431,2 Pièces pour 5 Personnes,255444,Résidence Lauziere Dessous,Valmorel,,9,109,Valmorel
,09/10/2023,09/03/2024,15/03/2024,948,948,2 Pièces pour 5 Personnes,255444,Résidence Lauziere Dessous,Valmorel,,10,109,Valmorel
