web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,11/05/2024,18/05/2024,70,70,EMPLACEMENT - camping,,Camping Le Moulin des Donnes,, 46310 CONCORES,,19,camping-le-moulin-des-donnes-81610,
,09/10/2023,11/05/2024,18/05/2024,105,105,EMPLACEMENT - camping,,Camping Le Moulin des Donnes,, 46310 CONCORES,,19,camping-le-moulin-des-donnes-81610,
,09/10/2023,11/05/2024,18/05/2024,195,195,CHALET 5 personnes - CHALET sans sanitaires,,Camping Le Moulin des Donnes,5 Adultes, 46310 CONCORES,,19,camping-le-moulin-des-donnes-81610,
,09/10/2023,11/05/2024,18/05/2024,395,395,MOBILHOME 6 personnes - WILLERBY,,Camping Le Moulin des Donnes,6 Adultes, 46310 CONCORES,,19,camping-le-moulin-des-donnes-81610,
,09/10/2023,11/05/2024,18/05/2024,395,395,MOBILHOME 6 personnes - O'HARA éco-responsable,,Camping Le Moulin des Donnes,6 Adultes, 46310 CONCORES,,19,camping-le-moulin-des-donnes-81610,
,09/10/2023,03/08/2024,10/08/2024,336,336,"TENTE 4 personnes - Meublée Cyrus - (sans sanitaires, sans eau, sans terrasse)",,Camping du Lac,4 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,03/08/2024,10/08/2024,441,441,"BUNGALOW TOILÉ 4 personnes - COCO SWEET (sans sanitaire, sans eau, sans terrasse)",,Camping du Lac,4 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,03/08/2024,10/08/2024,455,455,MOBILHOME 2 personnes - Valentin - cuisine sur terrasse,,Camping du Lac,2 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,03/08/2024,10/08/2024,623,623,MOBILHOME 4 personnes - cottage 4 personnes,,Camping du Lac,4 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,03/08/2024,10/08/2024,735,735,MOBILHOME 5 personnes - XL 4/5 personnes 2 chambres,,Camping du Lac,4 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,03/08/2024,10/08/2024,770,770,MOBILHOME 6 personnes - cottage 3 chambres rivière,,Camping du Lac,6 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,03/08/2024,10/08/2024,840,840,MOBILHOME 6 personnes - Cottage 3 chambres,,Camping du Lac,6 Adultes, 09000 FOIX,,31,camping-du-lac-77237,
,09/10/2023,10/03/2024,17/03/2024,481,481,MOBILHOME 4 personnes - BASIC 4 Pers 2 Chambres (27m²),,Camping Pene Blanche,4 Adultes, 65510 LOUDENVIELLE,,10,camping-pene-blanche-79568,
,09/10/2023,10/03/2024,17/03/2024,575,575,MOBILHOME 4 personnes - PREMIUM 4 pers (32m²),,Camping Pene Blanche,4 Adultes, 65510 LOUDENVIELLE,,10,camping-pene-blanche-79568,
,09/10/2023,10/03/2024,17/03/2024,695,695,MOBILHOME 6 personnes - PREMIUM 6 pers (28m²),,Camping Pene Blanche,6 Adultes, 65510 LOUDENVIELLE,,10,camping-pene-blanche-79568,
,09/10/2023,10/03/2024,17/03/2024,767,767,MOBILHOME 4 personnes - MOBIL HOME PRESTIGE 4 PERS 2 Chambres 2 Salles de bains 32m2,,Camping Pene Blanche,4 Adultes, 65510 LOUDENVIELLE,,10,camping-pene-blanche-79568,
,09/10/2023,13/04/2024,20/04/2024,506.99,354.89,MOBILHOME 4 personnes - 3 Pièces 4 Personnes Climatisé + TV,,Camping Le Suroit,4 Adultes, 17190 SAINT GEORGES D'OLERON,,15,camping-le-suroit-78245,
,09/10/2023,13/04/2024,20/04/2024,591.69,414.18,MOBILHOME 6 personnes - 4 Pièces 6 Personnes Climatisé + TV,,Camping Le Suroit,6 Adultes, 17190 SAINT GEORGES D'OLERON,,15,camping-le-suroit-78245,
,09/10/2023,13/07/2024,20/07/2024,315,315,EMPLACEMENT - ELECTRIQUE (16A) - 2 pers. comprises dans le tarif,,Camping Domaine de la Paille Basse,, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,350,350,EMPLACEMENT - CONFORT - 2 pers. comprises dans le tarif,,Camping Domaine de la Paille Basse,, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,745,745,BUNGALOW TOILÉ 4 personnes - Coco Sweet - sans sanitaires,,Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,795,795,TENTE 4 personnes - Glamping - 2 tentes sur emplacement - sans sanitaires,,Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,819,819,TENTE TOILE ET BOIS 6 personnes - LODGE TENT - 3 chambres,,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,889,889,MOBILHOME 4 personnes - Cosy,,Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,995,995,MOBILHOME 6 personnes - Lounge,,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,1025,1025,MOBILHOME 6 personnes - Loggia - 2 chambres,,Camping Domaine de la Paille Basse,4 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,1145,1145,MOBILHOME 6 personnes - Lounge Plus - 3 chambres,,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,1205,1205,MOBILHOME 8 personnes - Loggia - 3 chambres,,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,1255,1255,CHALET 6 personnes - Confort - 3 chambres,,Camping Domaine de la Paille Basse,6 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,13/07/2024,20/07/2024,1350,1350,MOBILHOME 8 personnes - Premium - 3 chambres,,Camping Domaine de la Paille Basse,8 Adultes, 46200 SOUILLAC,,28,camping-domaine-de-la-paille-basse-78566,
,09/10/2023,28/01/2024,04/02/2024,273.90,191.73,CHAMBRE 2 personnes - Formule Hôtelière 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,4,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,09/10/2023,28/01/2024,04/02/2024,328.90,230.23,APPARTEMENT 2 personnes - Suite 2 Personnes Climatisé + TV,,Camping maeva Escapades - Les Cottages de Perpignan,2 Adultes, 66000 PERPIGNAN,,4,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,09/10/2023,28/01/2024,04/02/2024,391.60,274.12,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping maeva Escapades - Les Cottages de Perpignan,6 Adultes, 66000 PERPIGNAN,,4,camping-maeva-escapades-les-cottages-de-perpignan-92880,
,09/10/2023,13/04/2024,20/04/2024,530,530,MOBILHOME 4 personnes - SUPER VENUS MH2,,Camping Le Rioumajou,4 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,570,570,MOBILHOME 4 personnes - SUPER MERCURE MH2,,Camping Le Rioumajou,4 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,590,590,MOBILHOME 4 personnes - OHARA MH2 PMR,,Camping Le Rioumajou,4 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,600,600,MOBILHOME 6 personnes - TAMARIS MH3,,Camping Le Rioumajou,6 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,605,605,MOBILHOME 4 personnes - SUPER MERCURE MH2,,Camping Le Rioumajou,4 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,620,620,MOBILHOME 4 personnes - LOGGIA BAY MH2,,Camping Le Rioumajou,4 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,630,630,MOBILHOME 6 personnes - SUPER CORDELIA MH3,,Camping Le Rioumajou,6 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,13/04/2024,20/04/2024,650,650,MOBILHOME 4 personnes - LODGE MH2,,Camping Le Rioumajou,4 Adultes, 65170 SAINT LARY SOULAN,,15,camping-le-rioumajou-79593,
,09/10/2023,23/06/2024,30/06/2024,497,497,TENTE TOILE ET BOIS 6 personnes - Tente glamping Larzac,,Camping RCN Val de Cantobre,6 Adultes, 12230 NANT,,25,camping-rcn-val-de-cantobre-77869,
,09/10/2023,23/06/2024,30/06/2024,511,511,TENTE TOILE ET BOIS 5 personnes - Tente safari Bégon,,Camping RCN Val de Cantobre,5 Adultes, 12230 NANT,,25,camping-rcn-val-de-cantobre-77869,
,09/10/2023,23/06/2024,30/06/2024,567,567,MOBILHOME 4 personnes - Tarn,,Camping RCN Val de Cantobre,4 Adultes, 12230 NANT,,25,camping-rcn-val-de-cantobre-77869,
,09/10/2023,23/06/2024,30/06/2024,595,595,MOBILHOME 4 personnes - Trévezel,,Camping RCN Val de Cantobre,4 Adultes, 12230 NANT,,25,camping-rcn-val-de-cantobre-77869,
,09/10/2023,23/06/2024,30/06/2024,623,623,CHALET 5 personnes - Roquefort,,Camping RCN Val de Cantobre,5 Adultes, 12230 NANT,,25,camping-rcn-val-de-cantobre-77869,
