web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,04/11/2023,11/11/2023,413,413,MOBILHOME 2 personnes - Formule Hotelière - 1 chambre -,,DOMAINE DE BLANGY,2 Adultes, 02500 HIRSON,,44,domaine-de-blangy-91498,
,09/10/2023,04/11/2023,11/11/2023,413,413,MOBILHOME 1 personne - Formule Hotelière - 1 chambre -,,DOMAINE DE BLANGY,1 Adultes, 02500 HIRSON,,44,domaine-de-blangy-91498,
,09/10/2023,04/11/2023,11/11/2023,550.71,550.71,MOBILHOME 4 personnes - Cottage 2 chambres,,DOMAINE DE BLANGY,2 Adultes, 02500 HIRSON,,44,domaine-de-blangy-91498,
,09/10/2023,04/11/2023,11/11/2023,588,588,MOBILHOME 2 personnes - Suite : 1 chambre + cuisine -,,DOMAINE DE BLANGY,2 Adultes, 02500 HIRSON,,44,domaine-de-blangy-91498,
,09/10/2023,04/11/2023,11/11/2023,588,588,MOBILHOME 1 personne - Suite : 1 chambre + cuisine -,,DOMAINE DE BLANGY,1 Adultes, 02500 HIRSON,,44,domaine-de-blangy-91498,
,09/10/2023,04/11/2023,11/11/2023,654.29,654.29,MOBILHOME 6 personnes - Cottage 3 chambres,,DOMAINE DE BLANGY,3 Adultes, 02500 HIRSON,,44,domaine-de-blangy-91498,
,09/10/2023,20/07/2024,27/07/2024,119,119,EMPLACEMENT - 2 personnes + tente-voiture ou caravane-voiture ou camping-car + électricté,,Camping Fontenoy Le Chateau,,Loup ,,29,camping-fontenoy-le-chateau-84635,
,09/10/2023,20/07/2024,27/07/2024,310,310,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping Fontenoy Le Chateau,4 Adultes,Loup ,,29,camping-fontenoy-le-chateau-84635,
,09/10/2023,15/10/2023,22/10/2023,450,450,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping de la Haie Penée,4 Adultes,Quentin,,41,camping-de-la-haie-penee-86857,
,09/10/2023,15/10/2023,22/10/2023,510,510,MOBILHOME 6 personnes - Mobilhome 6 personnes,,Camping de la Haie Penée,6 Adultes,Quentin,,41,camping-de-la-haie-penee-86857,
,09/10/2023,04/08/2024,11/08/2024,119,119,EMPLACEMENT - 2 personnes + tente-voiture ou caravane-voiture ou camping-car + électricté,,Camping Fontenoy Le Chateau,,Loup ,,31,camping-fontenoy-le-chateau-84635,
,09/10/2023,09/12/2023,16/12/2023,246,246,BUNGALOW 4 personnes - sans sanitaires,,Camping du Lac de Moselotte,4 Adultes, 88290 SAULXURES SUR MOSELOTTE,,49,camping-du-lac-de-moselotte-78507,
,09/10/2023,09/12/2023,16/12/2023,266,266,BUNGALOW 5 personnes - sans sanitaires,,Camping du Lac de Moselotte,4 Adultes, 88290 SAULXURES SUR MOSELOTTE,,49,camping-du-lac-de-moselotte-78507,
,09/10/2023,09/12/2023,16/12/2023,452,452,MOBILHOME 4 personnes - Mobilhome 4 personnes,,Camping du Lac de Moselotte,4 Adultes, 88290 SAULXURES SUR MOSELOTTE,,49,camping-du-lac-de-moselotte-78507,
