web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,Nb personnes,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,09/10/2023,13/04/2024,20/04/2024,565.17,163.90,MOBILHOME 6 personnes - Mobil Home Pyrénées 3 Pièces 4/6 Personnes Climatisé + TV,,Camping maeva Club Le Lagon d'Argelès,4 Adultes, 66700 ARGELES,,15,camping-maeva-club-le-lagon-d-argeles-76769,
,09/10/2023,13/04/2024,20/04/2024,619.67,185.90,MOBILHOME 8 personnes - Mobil Home Evolution 4 Pièces 6/8 Personnes Climatisé + TV,,Camping maeva Club Le Lagon d'Argelès,6 Adultes, 66700 ARGELES,,15,camping-maeva-club-le-lagon-d-argeles-76769,
,09/10/2023,13/04/2024,20/04/2024,649.69,207.90,MOBILHOME 10 personnes - Mobil Home Family 5 Pièces 8/10 Personnes Climatisé + TV,,Camping maeva Club Le Lagon d'Argelès,8 Adultes, 66700 ARGELES,,15,camping-maeva-club-le-lagon-d-argeles-76769,
,09/10/2023,13/10/2024,20/10/2024,98,98,EMPLACEMENT - Voiture + tente/caravane ou camping-car,,Camping Le Pont,, 12640 RIVIERE SUR TARN,,41,camping-le-pont-78167,
,09/10/2023,13/10/2024,20/10/2024,160,160,TENTE TOILE ET BOIS 2 personnes - Tente Lodge MOOREA,,Camping Le Pont,2 Adultes, 12640 RIVIERE SUR TARN,,41,camping-le-pont-78167,
,09/10/2023,13/10/2024,20/10/2024,220,220,TENTE TOILE ET BOIS 5 personnes - Tente Lodge BALI,,Camping Le Pont,5 Adultes, 12640 RIVIERE SUR TARN,,41,camping-le-pont-78167,
,09/10/2023,13/10/2024,20/10/2024,250,250,TENTE TOILE ET BOIS 6 personnes - Tente Lodge KENYA,,Camping Le Pont,6 Adultes, 12640 RIVIERE SUR TARN,,41,camping-le-pont-78167,
,09/10/2023,13/10/2024,20/10/2024,270,270,MOBILHOME 4 personnes,,Camping Le Pont,4 Adultes, 12640 RIVIERE SUR TARN,,41,camping-le-pont-78167,
,09/10/2023,25/02/2024,03/03/2024,300,300,MOBILHOME 5 personnes - TRITON - 2 chambres - Essentiel - 24m²,,Camping Le Pinada,5 Adultes, 11200 FABREZAN,,8,camping-le-pinada-77247,
,09/10/2023,25/02/2024,03/03/2024,300,300,MOBILHOME 4 personnes - IRIS - 1 chambre - Récent - 20m²,,Camping Le Pinada,4 Adultes, 11200 FABREZAN,,8,camping-le-pinada-77247,
