web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,02/10/2023,21/10/2023,27/10/2023,1761,1761,Maisons & Villas pour 10 Personnes,586384,Résidence 10aljof25-le Barcares,Le Barcarès,,42,6603,Le Barcarès
,02/10/2023,28/10/2023,03/11/2023,1761,1761,Maisons & Villas pour 10 Personnes,586384,Résidence 10aljof25-le Barcares,Le Barcarès,,43,6603,Le Barcarès
,02/10/2023,07/10/2023,13/10/2023,315,315,Maison 2 Pièces 4 Personnes Terrasse,304734,Résidence Les Carrats,Port Leucate,,40,197,Port Leucate
,02/10/2023,07/10/2023,13/10/2023,370,370,Maison 3 Pièces 6 Personnes Terrasse,304744,Résidence Les Carrats,Port Leucate,,40,197,Port Leucate
,02/10/2023,07/10/2023,13/10/2023,410,410,Maison 4 pièces 8 personnes,205877,Résidence Les Carrats,Port Leucate,,40,197,Port Leucate
,02/10/2023,14/10/2023,20/10/2023,315,315,Maison 2 Pièces 4 Personnes Terrasse,304734,Résidence Les Carrats,Port Leucate,,41,197,Port Leucate
,02/10/2023,14/10/2023,20/10/2023,370,370,Maison 3 Pièces 6 Personnes Terrasse,304744,Résidence Les Carrats,Port Leucate,,41,197,Port Leucate
,02/10/2023,14/10/2023,20/10/2023,410,410,Maison 4 pièces 8 personnes,205877,Résidence Les Carrats,Port Leucate,,41,197,Port Leucate
,02/10/2023,21/10/2023,27/10/2023,365,365,Maison 2 Pièces 4 Personnes Terrasse,304734,Résidence Les Carrats,Port Leucate,,42,197,Port Leucate
,02/10/2023,21/10/2023,27/10/2023,460,460,Maison 3 Pièces 6 Personnes Terrasse,304744,Résidence Les Carrats,Port Leucate,,42,197,Port Leucate
,02/10/2023,21/10/2023,27/10/2023,505,505,Maison 4 pièces 8 personnes,205877,Résidence Les Carrats,Port Leucate,,42,197,Port Leucate
,02/10/2023,28/10/2023,03/11/2023,365,365,Maison 2 Pièces 4 Personnes Terrasse,304734,Résidence Les Carrats,Port Leucate,,43,197,Port Leucate
,02/10/2023,28/10/2023,03/11/2023,460,460,Maison 3 Pièces 6 Personnes Terrasse,304744,Résidence Les Carrats,Port Leucate,,43,197,Port Leucate
,02/10/2023,28/10/2023,03/11/2023,505,505,Maison 4 pièces 8 personnes,205877,Résidence Les Carrats,Port Leucate,,43,197,Port Leucate
,02/10/2023,07/10/2023,13/10/2023,366,348,1 Pièce 4 Personnes,51687,Résidence Les Pistes,Tignes - Le Lac / Le Lavachet,,40,574,Tignes - Le Lac / Le Lavachet
,02/10/2023,07/10/2023,13/10/2023,392,372,1 Pièce 2 Personnes,818234,Résidence Les Pistes,Tignes - Le Lac / Le Lavachet,,40,574,Tignes - Le Lac / Le Lavachet
,02/10/2023,14/10/2023,20/10/2023,392,372,1 Pièce 2 Personnes,818234,Résidence Les Pistes,Tignes - Le Lac / Le Lavachet,,41,574,Tignes - Le Lac / Le Lavachet
,02/10/2023,14/10/2023,20/10/2023,484,460,1 Pièce 4 Personnes,51687,Résidence Les Pistes,Tignes - Le Lac / Le Lavachet,,41,574,Tignes - Le Lac / Le Lavachet
