web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,02/10/2023,07/10/2023,13/10/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,40,160,Cap d'Agde
,02/10/2023,14/10/2023,20/10/2023,521,495,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,41,160,Cap d'Agde
,02/10/2023,14/10/2023,20/10/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,41,160,Cap d'Agde
,02/10/2023,21/10/2023,27/10/2023,521,495,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,42,160,Cap d'Agde
,02/10/2023,21/10/2023,27/10/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,42,160,Cap d'Agde
,02/10/2023,28/10/2023,03/11/2023,521,495,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,43,160,Cap d'Agde
,02/10/2023,28/10/2023,03/11/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,43,160,Cap d'Agde
,02/10/2023,04/11/2023,10/11/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,44,160,Cap d'Agde
,02/10/2023,11/11/2023,17/11/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,45,160,Cap d'Agde
,02/10/2023,18/11/2023,24/11/2023,610,580,2 Pièces 4 Personnes,51216,Résidence Le Florid,Cap d'Agde,,46,160,Cap d'Agde
,02/10/2023,25/11/2023,01/12/2023,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,47,160,Cap d'Agde
,02/10/2023,25/11/2023,01/12/2023,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,47,160,Cap d'Agde
,02/10/2023,02/12/2023,08/12/2023,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,48,160,Cap d'Agde
,02/10/2023,02/12/2023,08/12/2023,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,48,160,Cap d'Agde
,02/10/2023,09/12/2023,15/12/2023,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,49,160,Cap d'Agde
,02/10/2023,09/12/2023,15/12/2023,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,49,160,Cap d'Agde
,02/10/2023,16/12/2023,22/12/2023,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,50,160,Cap d'Agde
,02/10/2023,16/12/2023,22/12/2023,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,50,160,Cap d'Agde
,02/10/2023,23/12/2023,29/12/2023,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,51,160,Cap d'Agde
,02/10/2023,23/12/2023,29/12/2023,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,51,160,Cap d'Agde
,02/10/2023,30/12/2023,05/01/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,52,160,Cap d'Agde
,02/10/2023,30/12/2023,05/01/2024,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,52,160,Cap d'Agde
,02/10/2023,06/01/2024,12/01/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,1,160,Cap d'Agde
,02/10/2023,06/01/2024,12/01/2024,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,1,160,Cap d'Agde
,02/10/2023,13/01/2024,19/01/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,2,160,Cap d'Agde
,02/10/2023,13/01/2024,19/01/2024,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,2,160,Cap d'Agde
,02/10/2023,20/01/2024,26/01/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,3,160,Cap d'Agde
,02/10/2023,20/01/2024,26/01/2024,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,3,160,Cap d'Agde
,02/10/2023,27/01/2024,02/02/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,4,160,Cap d'Agde
,02/10/2023,27/01/2024,02/02/2024,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,4,160,Cap d'Agde
,02/10/2023,03/02/2024,09/02/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,5,160,Cap d'Agde
,02/10/2023,03/02/2024,09/02/2024,506,481,1 Pièce 4 Personnes,51214,Résidence Le Florid,Cap d'Agde,,5,160,Cap d'Agde
,02/10/2023,10/02/2024,16/02/2024,506,481,1 Pièce 4 Personnes,511474,Résidence Le Florid,Cap d'Agde,,6,160,Cap d'Agde
