web-scrapper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaines,cle_station,nom_station
,25/09/2023,23/12/2023,29/12/2023,648,648,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,51,104,Valfréjus
,25/09/2023,30/12/2023,05/01/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,52,104,Valfréjus
,25/09/2023,06/01/2024,12/01/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,1,104,Valfréjus
,25/09/2023,13/01/2024,19/01/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,2,104,Valfréjus
,25/09/2023,20/01/2024,26/01/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,3,104,Valfréjus
,25/09/2023,27/01/2024,02/02/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,4,104,Valfréjus
,25/09/2023,03/02/2024,09/02/2024,648,648,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,5,104,Valfréjus
,25/09/2023,10/02/2024,16/02/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,6,104,Valfréjus
,25/09/2023,17/02/2024,23/02/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,7,104,Valfréjus
,25/09/2023,24/02/2024,01/03/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,8,104,Valfréjus
,25/09/2023,02/03/2024,08/03/2024,867,867,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,9,104,Valfréjus
,25/09/2023,09/03/2024,15/03/2024,648,648,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,10,104,Valfréjus
,25/09/2023,16/03/2024,22/03/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,11,104,Valfréjus
,25/09/2023,23/03/2024,29/03/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,12,104,Valfréjus
,25/09/2023,30/03/2024,05/04/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,13,104,Valfréjus
,25/09/2023,06/04/2024,12/04/2024,450,450,2 Pièces pour 4 Personnes,308804,Résidence Charmaix,Valfréjus,,14,104,Valfréjus
,25/09/2023,30/09/2023,06/10/2023,699,699,Studio pour 5 Personnes,1084384,Résidence Grande Plage,Le Barcarès,,39,6603,Le Barcarès
,25/09/2023,07/10/2023,13/10/2023,699,699,Studio pour 5 Personnes,1084384,Résidence Grande Plage,Le Barcarès,,40,6603,Le Barcarès
,25/09/2023,14/10/2023,20/10/2023,699,699,Studio pour 5 Personnes,1084384,Résidence Grande Plage,Le Barcarès,,41,6603,Le Barcarès
,25/09/2023,02/12/2023,08/12/2023,949,465,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,48,324,Gourette
,25/09/2023,09/12/2023,15/12/2023,949,465,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,49,324,Gourette
,25/09/2023,16/12/2023,22/12/2023,949,465,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,50,324,Gourette
,25/09/2023,23/12/2023,29/12/2023,1323,794,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,51,324,Gourette
,25/09/2023,13/01/2024,19/01/2024,949,465,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,2,324,Gourette
,25/09/2023,20/01/2024,26/01/2024,949,465,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,3,324,Gourette
,25/09/2023,27/01/2024,02/02/2024,949,584,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,4,324,Gourette
,25/09/2023,03/02/2024,09/02/2024,949,584,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,5,324,Gourette
,25/09/2023,09/03/2024,15/03/2024,949,584,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,10,324,Gourette
,25/09/2023,16/03/2024,22/03/2024,949,584,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,11,324,Gourette
,25/09/2023,23/03/2024,29/03/2024,949,584,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,12,324,Gourette
,25/09/2023,30/03/2024,05/04/2024,972,476,Studio pour 4 Personnes,438694,LE CHALET - Piscine 2,Gourette,,13,324,Gourette
,25/09/2023,16/12/2023,22/12/2023,477,453,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,50,86,Saint-Gervais Mont-Blanc
,25/09/2023,06/01/2024,12/01/2024,429,408,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,1,86,Saint-Gervais Mont-Blanc
,25/09/2023,13/01/2024,19/01/2024,429,408,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,2,86,Saint-Gervais Mont-Blanc
,25/09/2023,03/02/2024,09/02/2024,646,614,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,5,86,Saint-Gervais Mont-Blanc
,25/09/2023,10/02/2024,16/02/2024,790,751,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,6,86,Saint-Gervais Mont-Blanc
,25/09/2023,17/02/2024,23/02/2024,790,751,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,7,86,Saint-Gervais Mont-Blanc
,25/09/2023,02/03/2024,08/03/2024,678,644,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,9,86,Saint-Gervais Mont-Blanc
,25/09/2023,09/03/2024,15/03/2024,501,476,2 Pièces 4 Personnes,219594,Résidence Châlet des Pistes,Saint-Gervais Mont-Blanc,,10,86,Saint-Gervais Mont-Blanc
